Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0402,3,0.1u,C1525
D1,0402,1,red,C7420553
Q1,SOT-323_SC-70,1,Q_PMOS_GSD,C391640
R1,0402,1,510,C25123
SW2,SW_SPST_CK_KMS2xxGP,1,SW_Push_Shielded,C221703
U1,E104-BT5032A_BYT,1,E104-BT5032A,C518912
U2,XDCR_BMP390L,1,BMP390L,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25X40CLUXIG,C401661 
U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,C95230
