Designator,Mid X,Mid Y,Rotation,Layer
C1,117.3,-102.2,90.0,top
C2,120.539411,-99.439411,315.0,top
C4,115.65,-99.12,270.0,top
D1,123.49,-98.1,0.0,top
Q1,117.85,-98.6,180.0,top
R1,123.49,-99.5,0.0,top
SW2,120.15,-106.8,0.0,top
U1,118.539,-88.4508,0.0,top
U2,113.7125,-99.3,0.0,top
U3,114.575,-103.25,180.0,top
U5,120.2,-101.991682,135.0,top
